metadata,tddp
aceasdata.17,f18a4e0c-ac03-45be-b4fe-f0f32516d51e
aceasdata.19,8c03e4bd-fcc0-41d0-858f-6adf63699c81
aceasdata.21,d8c3bf73-acb0-4b75-9f2a-9077215ba257
aceasdata.23,716c7809-6e6c-4b1c-890c-d9a05c7212b0
aceasdata.25,9ed85108-6f82-492e-b694-de1f073f89cb
aceasdata.27,b6633694-0d20-4375-a91d-83ecb6407e0b
aceasdata.29,5017247d-f8dd-475d-a2de-7876cb22e5e8
aceasdata.30,d672ede3-bfdd-474f-8a3d-d1d7b8f8569c
aceasdata.32,8501dc3b-0384-4ea7-847d-dd5755f5e3b9
aceasdata.37,6e2eeff6-96f4-47fa-a396-5f6f2f0d171b
smguru.101,70e39096-52d6-4961-a667-0ddf362fed70
smguru.104,f0fa84c1-199c-428d-abfb-849bf2f2b089
smguru.110,3320cfb6-9564-4f1c-9985-7db50396c1a4
smguru.24,86cc3d40-8db8-4ba5-905b-02ae86eb2111
smguru.25,9ed85108-6f82-492e-b694-de1f073f89cb
smguru.28,40e39cda-c143-4eb7-9e1c-3e17145452e7
smguru.31,f7e2da72-e0fe-429e-9078-a2460d5045f3
smguru.35,6f468d4c-3a0e-4aec-9b74-e08a237e96d6
smguru.34,d1ad786d-f0ab-4345-a0b9-849ad21d78bb
smguru.36,a44d24da-3819-4e3a-b4f3-7ab90b6c4d11
smguru.38,6ad3c18f-ea73-44ac-9704-899164e4d00b
smguru.39,0c1846b3-dbec-45fa-a2b2-dabead941fe6
smguru.40,2845937b-4663-47a8-8126-fe7476cf450d
smguru.43,5df4ad9d-05c0-4061-b8cf-d99fd3024d27
smguru.85,5f593aed-f8f8-448f-b2f7-799452bc5fb7
smguru.88,1944647e-39c0-4164-9fce-13e4ef58a99f
smguru.9,1f019aa3-ab58-4dde-9451-7b5e31303f29
aceasdata.42,abd43890-c85e-4a60-9c27-d85ced2d81eb
aceasdata.22,b4e72dff-ce73-409c-8516-3dfaa02bdc3c
aceasdata.7,0a01fb47-f4ef-43f0-8102-be5b80c0352a
smguru.94,050338c5-1003-4951-af2e-12b290865d1a
smguru.116,826f2e2f-5fac-4fd2-9ef3-ac9d173a1bc6
smguru.115,7229765e-efc7-47c0-87cd-27e39df5192c
