"gid","name","suburb","country","state_terr","lat_dm","lat_dd","long_dm","long_dd","elev_m","height_m","start_date","start_da_1","end_date1","end_date2","duration_d","time_step","time_start","monitor_ty","magnificat","counting_m","metadata","geom"
7,"Hobart","Sandy Bay (University of Tasmania)","Australia","Tasmania","42??54'","-42.90000000000","147??19'","147.31666700000","58","12","2007-07-07",NULL,"2010-12-31",NULL,"1273","24 hrs","1899-12-30","Burkard","400x","4 transects","aceasdata.15","0101000020E61000001E17D522226A624033333333337345C0"
9,"Auckland","Onehunga","New Zealand",NULL,"36??51'","-36.8500000000","174??46'","174.766667000","15","3","1989-10-28",NULL,"1990-04-30",NULL,"184","24 hrs","1899-12-30","Rotorod","400x","n/a","aceasdata.17","0101000020E6100000857D3B8988D86540CDCCCCCCCC6C42C0"
10,"Christchurch","Christchurch (Canterbury University)","New Zealand",NULL,"43??31'","-43.51666700000","172??35'","172.58333300000","14","20","1988-11-17",NULL,"1989-02-28",NULL,"103","24 hrs","1899-12-30","Rotorod","400x","n/a","aceasdata.19","0101000020E6100000AFB5F7A9AA92654012F6ED2422C245C0"
11,"Dunedin","Dunedin","New Zealand",NULL,"45??51'","-45.85000000000","170??30'","170.50000000000","0","5","1992-10-01",NULL,"1993-02-01",NULL,"123","24 hrs","1899-12-30","Rotorod","400x","n/a","aceasdata.21","0101000020E61000000000000000506540CDCCCCCCCCEC46C0"
8,"Kaikohe",NULL,"New Zealand",NULL,"35??24'","-35.40000000000","173??48'","173.80000000000","198","2","1988-11-15",NULL,"1989-02-11",NULL,"88","24 hrs","1899-12-30","Rotorod","400x","n/a","aceasdata.23","0101000020E61000009A99999999B965403333333333B341C0"
2,"Brisbane","Rocklea","Australia","Queensland","27??29'","-27.48333300000","153??08'","153.13333300000","13","2","1994-06-07",NULL,"1999-05-17",NULL,"1805","7 day",NULL,"Burkard","250x","entire slide","aceasdata.25","0101000020E6100000484F914344246340DB1324B6BB7B3BC0"
3,"Perth","Murdoch (Murdoch University)","Australia","Western Australia","32??04'","-32.0666670000","115??50'","115.833333000","30","0","2006-09-01",NULL,"2006-12-31",NULL,"121","24 hrs",NULL,"Burkard","unknown","unknown","aceasdata.27","0101000020E61000005D6BEF5355F55C40795C548B880840C0"
6,"Melbourne","Parkville (Melbourne University)","Australia","Victoria","37??48'","-37.80000000000","144??17'","144.28333300000","0","14","2009-09-01",NULL,"2011-12-31",NULL,"852","24 hrs","1899-12-30","Burkard","20x with a field of view of 1 mm","1 transect","aceasdata.29","0101000020E6100000151C5E10110962406666666666E642C0"
5,"Canberra","Acton (Australian National University)","Australia","Australian Capital Territory","35??16'","-35.2666670000","149?? 7'","149.116667000","569","8","2007-09-26",NULL,"2009-12-13",NULL,"809","24 hrs","1899-12-30","Burkard","400x","4 transects","aceasdata.30","0101000020E6100000B8B06EBCBBA3624012F6ED2422A241C0"
4,"Sydney","Campbelltown (University of Western Sydney)","Australia","New South Wales","34??04'","-34.0688890000","150??47'","151.791389000","74","10","1992-08-01",NULL,"1995-12-31",NULL,"1247","24 hrs",NULL,"Burkard","400x","3 transects","aceasdata.32","0101000020E61000005A643BDF4FD96240E25817B7D10841C0"
1,"Darwin","Casurina","Australia","Northern Territory","12??22'","-12.36666700000","130??52'","130.86666700000","13","14","2004-03-18",NULL,"2005-11-15",NULL,"607","24 hrs","1899-12-30","Burkard","400x","4 transects","aceasdata.37","0101000020E6100000B8B06EBCBB5B60407C0BEBC6BBBB28C0"
